"(Large to Small) Criteria","Mean IRR","Mean Multiple","Standard Deviation IRR","Standard Deviation Multiple"
"1","Secondaries","Buyout","Natural Resources","Venture"
"2","Buyout","Balanced","Venture","Balanced"
"3","Distressed & Turnaround","Growth","Balanced","Natural Resources"
"4","Co-Investment","Natural Resources","Co-Investment","Growth"
"5","Growth","Secondaries","Buyout","Buyout"
"6","Natural Resources","Distressed & Turnaround","Expansion / Late Stage","Expansion / Late Stage"
"7","Balanced","Co-Investment","Growth","Distressed & Turnaround"
"8","Real Estate","Venture","Distressed & Turnaround","Co-Investment"
"9","Mezzanine","Mezzanine","Secondaries","Real Estate"
"10","Venture","Expansion / Late Stage","Real Estate","Secondaries"
"11","Expansion / Late Stage","Real Estate","Mezzanine","Mezzanine"
