"","Model 3(a)",,"Model 3(b)",,"Model 3(c)",,"Model 3(d)",,"Model 4(a)",,"Model 4(b)",,"Model 4(c)",,"Model 4(d)",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (benchmark: Buyout)","","","","","","","","","","","","","","","",""
"Distressed & Turnaround","−0.527","−0.125***","−1.081","−0.104**","−0.835","−0.152***","−0.674","−0.150***","−0.417","−0.118**","−0.989","−0.098**","−0.715","−0.145***","−0.566","−0.143***"
"Expansion / Late Stage","−7.871***","−0.395***","−7.776***","−0.389***","−7.877***","−0.384***","−7.803***","−0.383***","−7.948***","−0.403***","−7.870***","−0.395***","−7.970***","−0.392***","−7.886***","−0.391***"
"Growth","−2.685***","−0.112*","−3.335***","−0.107*","−2.924***","−0.150**","−2.894***","−0.149**","−2.626***","−0.112*","−3.305***","−0.108*","−2.866***","−0.151**","−2.841***","−0.150**"
"Venture","−7.956***","−0.372***","−7.700***","−0.374***","−7.869***","−0.356***","−7.840***","−0.356***","−7.989***","−0.375***","−7.743***","−0.375***","−7.925***","−0.360***","−7.875***","−0.359***"
"Vintage Brackets",,,,,,,,,,,,,,,,
"1990–2002","1.752***","0.245***","","","","","","","1.767***","0.245***","","","","","",""
"1990–2008","","","−2.668***","0.313***","","","","","","","−2.762***","0.308***","","","",""
"2003–2008","","","","","−3.497***","−0.019","","","","","","","−3.582***","−0.023","",""
"2007–2009","","","","","","","−0.680","−0.012","","","","","","","−0.738","−0.016"
"Region (benchmark: U.S.)",,,,,,,,,,,,,,,,
"Africa","0.630","0.104","0.203","0.070","0.869","0.065","0.296","0.063","0.349","0.100","−0.094","0.069","0.570","0.062","0.019","0.059"
"Americas","−4.103**","−0.123","−4.283**","−0.132","−4.077**","−0.142","−4.129**","−0.141","−3.838**","−0.104","−4.034**","−0.111","−3.832**","−0.122","−3.858**","−0.121"
"Asia","0.600","−0.002","0.104","−0.005","0.549","−0.035","0.393","−0.035","0.600","−0.001","0.080","−0.004","0.543","−0.035","0.389","−0.035"
"Australasia","3.454","−0.044","3.033","−0.067","3.543","−0.082","3.213","−0.083","3.232","−0.057","2.777","−0.078","3.311","−0.095","2.982","−0.097"
"Diversified Multi-Region","−4.220","−0.202*","−4.779*","−0.244**","−4.052","−0.261***","−4.562*","−0.263**","−4.235","−0.202**","−4.803*","−0.244**","−4.068","−0.260***","−4.572*","−0.263***"
"Europe","−0.095","−0.067*","−0.281","−0.073*","−0.095","−0.083**","−0.171","−0.083*","−0.219","−0.074**","−0.420","−0.079**","−0.235","−0.091**","−0.296","−0.091**"
"Middle East & Israel","4.396","0.093","3.918","0.036","4.785","0.038","4.060","0.035","4.259","0.082","3.765","0.026","4.649","0.027","3.924","0.024"
"Size Variable",,,,,,,,,,,,,,,,
"LN(Fund Size)","−1.305***","−0.074***","−1.301***","−0.081***","−1.241***","−0.078***","−1.317***","−0.078***","","","","","","","",""
"Size Brackets (b’mark: <$100mn)",,,,,,,,,,,,,,,,
"$100mn_$250mn","","","","","","","","","−3.123***","−0.112**","−3.128***","−0.118**","−3.057***","−0.117**","−3.119***","−0.117**"
"$250mn_$500mn","","","","","","","","","−3.992***","−0.211***","−4.128***","−0.221***","−3.889***","−0.227***","−4.077***","−0.228***"
"$500mn_$1bn","","","","","","","","","−5.088***","−0.268***","−5.131***","−0.275***","−5.017***","−0.277***","−5.120***","−0.277***"
"$1bn_$3bn","","","","","","","","","−6.407***","−0.350***","−6.423***","−0.357***","−6.339***","−0.356***","−6.418***","−0.356***"
"> $3bn","","","","","","","","","−5.661***","−0.302***","−5.689***","−0.354***","−5.187***","−0.329***","−5.770***","−0.331***"
"Constant","22.798***","2.119***","25.963***","2.014***","24.552***","2.271***","23.859***","2.268***","18.987***","1.879***","22.315***","1.748***","21.070***","2.021***","20.026***","2.016***"
"Fund sequence","0.000","0.000","−0.090","0.000","−0.025","−0.005","−0.036","−0.005","−0.017","−0.001","−0.109","−0.001","−0.042","−0.007","−0.053","−0.007"
"F-stat","12.463***","14.432***","12.944***","15.387***","14.794***","9.217***","11.814***","9.194***","10.361***","11.975***","10.797***","12.536***","12.289***","7.895***","9.855***","7.870***"
"Adj. R-squared","0.0526","0.0633","0.0547","0.0675","0.0627","0.0397","0.0498","0.0396","0.0551","0.0663","0.0575","0.0695","0.0657","0.0427","0.0523","0.0426"
"Observations","2889","2782","2889","2782","2889","2782","2889","2782","2889","2782","2889","2782","2889","2782","2889","2782"
