"","Model 5(a)",,"Model 5(b)",,"Model 6(a)",,"Model 6(b)",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Type* Vintage Bracket","","","","","","","",""
"Buyout_1990_2002","5.287***","0.424***","","","5.340***","0.427***","",""
"Dist & Turn_1990_2002","6.672***","0.395***","","","6.883***","0.407***","",""
"Expansion/LS_1990_2002","−2.763","0.010","","","−2.755","0.004","",""
"Growth_1990_2002","1.048","0.344***","","","1.081","0.342***","",""
"Venture_1990_2002","−3.985***","−0.038","","","−4.082***","−0.044","",""
"Buyout_1990_2008","","","0.605","0.464***","","","0.506","0.459***"
"Dist & Turn_1990_2008","","","0.371","0.364***","","","0.394","0.366***"
"Expansion/LS_1990_2008","","","−9.208***","−0.027","","","−9.318***","−0.036"
"Growth_1990_2008","","","−3.600***","0.359***","","","−3.641***","0.353***"
"Venture_1990_2008","","","−8.547***","0.032","","","−8.693***","0.025"
"Region (benchmark: U.S.)",,,,,,,,
"Africa","1.491","0.146","−0.008","0.063","1.119","0.135","−0.302","0.061"
"Americas","−2.629","−0.047","−3.958**","−0.118","−2.561","−0.037","−3.731**","−0.099"
"Asia","0.686","0.010","0.059","−0.002","0.642","0.009","0.035","−0.002"
"Australasia","5.713**","0.065","3.583","−0.038","5.483**","0.052","3.341","−0.049"
"Diversified Multi-Region","−3.448","−0.171*","−4.316","−0.224**","−3.465","−0.172*","−4.342*","−0.224**"
"Europe","0.651","−0.028","−0.333","−0.073*","0.498","−0.037","−0.462","−0.079**"
"Middle East & Israel","3.506","0.069","3.720","0.027","3.407","0.058","3.564","0.016"
"Size Variable",,,,,,,,
"LN(Fund Size)","−0.640***","−0.045***","−1.225***","−0.076***","","","",""
"Size Brackets (benchmark: <$100mn)",,,,,,,,
"$100mn_$250mn","","","","","−2.561**","−0.089*","−2.957***","−0.111**"
"$250mn_$500mn","","","","","−2.845***","−0.161***","−3.851***","−0.205***"
"$500mn_$1bn","","","","","−3.390***","−0.198***","−4.849***","−0.258***"
"$1bn_$3bn","","","","","−4.040***","−0.251***","−6.143***","−0.338***"
">$3bn","","","","","−2.508**","−0.162***","−5.360***","−0.331***"
"Constant","15.933***","1.804***","22.895***","1.859***","14.785***","1.679***","19.475***","1.610***"
"Fund sequence","−0.039","−0.002","−0.111","−0.001","−0.053","−0.003","−0.127*","−0.002"
"F-stat","9.641***","13.104***","15.998***","17.359***","8.165***","10.940***","13.164***","14.071***"
"Adj. R-squared","0.0402","0.0574","0.0678","0.0761","0.0428","0.0604","0.0705","0.0780"
"Observations","2889","2782","2889","2782","2889","2782","2889","2782"
