"","Model C3(a)",,"Model C3(b)",,"Model C3(c)",,"Model C3(d)",,"Model C4(a)",,"Model C4(b)",,"Model C4(c)",,"Model C4(d)",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (b’mark: Mezzanine)","","","","","","","","","","","","","","","",""
"Balanced","1.515","0.244**","3.186","0.283**","1.622","0.293**","2.099","0.303**","1.004","0.210*","2.794","0.252**","1.149","0.264**","1.671","0.274**"
"Co-Investment","3.282*","0.125","2.558","0.087","3.849**","0.096","3.152*","0.081","3.259*","0.122","2.432","0.081","3.760**","0.089","3.071","0.073"
"Secondaries","8.504***","0.181***","8.124***","0.173***","8.447***","0.170***","8.433***","0.168***","8.330***","0.168***","7.942***","0.161***","8.247***","0.157***","8.252***","0.155***"
" ","","","","","","","","","","","","","","","",""
"Vintage Brackets",,,,,,,,,,,,,,,,
"1990–2002","2.641**","0.199***","","","","","","","2.783***","0.208***","","","","","",""
"1990–2008","","","−5.109***","0.115**","","","","","","","−5.065***","0.123***","","","",""
"2003–2008","","","","","−6.120***","−0.069*","","","","","","","−6.142***","−0.068*","",""
"2007–2009","","","","","","","−2.662**","0.017","","","","","","","−2.601**","0.019"
" ","","","","","","","","","","","","","","","",""
"Region (benchmark: U.S.)",,,,,,,,,,,,,,,,
"Africa","−5.076","−0.476**","−6.666","−0.598***","−3.386","−0.542***","−5.558","−0.592***","−5.921","−0.472**","−7.112","−0.603***","−3.688","−0.548***","−5.909","−0.599***"
"Americas","4.739","0.393","5.935","0.432","4.060","0.420","5.438","0.433","4.166","0.351","5.534","0.391","3.615","0.380","4.964","0.393"
"Asia","−1.728","−0.262","−3.274","−0.347**","−0.512","−0.326**","−2.582","−0.355**","−1.593","−0.258*","−3.263","−0.348**","−0.412","−0.328**","−2.553","−0.358**"
"Australasia","5.905","−0.049","3.016","−0.157","6.315","−0.141","4.058","−0.172","5.959","−0.044","3.162","−0.158","6.428","−0.141","4.093","−0.172"
"Diversified Multi-Region","−4.822","−0.320**","−8.362","−0.353**","−6.245","−0.407**","−5.498","−0.408**","−4.785","−0.318*","−8.405","−0.348*","−6.398","−0.409**","−5.549","−0.409**"
"Europe","0.862","−0.038","0.404","−0.053","0.946","−0.052","0.771","−0.058","0.907","−0.035","0.427","−0.051","0.993","−0.051","0.799","−0.057"
"Middle East & Israel","−4.362**","−0.100","−4.305*","−0.215","−1.334","−0.141","−3.223","−0.203","−4.169*","−0.088","−3.775*","−0.206","−0.989","−0.122","−3.007","−0.186"
" ","","","","","","","","","","","","","","","",""
"Size Variable",,,,,,,,,,,,,,,,
"LN(Fund Size)","−1.004**","−0.061***","−0.947**","−0.066***","−0.809**","−0.061***","−1.033**","−0.064***","","","","","","","",""
" ","","","","","","","","","","","","","","","",""
"Size Brackets (b’mark: <$100mn)",,,,,,,,,,,,,,,,
"$100mn_$250mn","","","","","","","","","−2.179","−0.145*","−2.777","−0.154*","−2.356","−0.163*","−2.408","−0.164*"
"$250mn_$500mn","","","","","","","","","−3.441*","−0.242***","−3.539*","−0.250***","−3.286*","−0.246***","−3.609*","−0.249***"
"$500mn_$1bn","","","","","","","","","−5.282***","−0.311***","−4.828***","−0.318***","−4.781***","−0.303***","−5.137***","−0.308***"
"$1bn_$3bn","","","","","","","","","−4.654**","−0.316***","−4.613**","−0.346***","−3.753**","−0.326***","−4.888***","−0.339***"
"> $3bn","","","","","","","","","−2.857","−0.154","−3.753","−0.191","−2.473","−0.188","−3.325","−0.199"
" ","","","","","","","","","","","","","","","",""
"Constant","14.958***","1.742***","20.242***","1.774***","17.285***","1.868***","16.719***","1.857***","12.195***","1.589***","17.970***","1.597***","15.528***","1.722***","13.969***","1.700***"
"Fund sequence","0.063","−0.003","−0.092","−0.004","−0.007","−0.006**","0.032","−0.006**","0.069","−0.002","−0.087","−0.003","−0.007","−0.006*","0.036","−0.006*"
" ","","","","","","","","","","","","","","","",""
"F-stat","5.609***","5.387***","6.880***","4.497***","8.413***","4.266***","5.529***","4.082***","4.604***","4.845***","5.507***","4.109***","6.738***","3.881***","4.495***","3.740***"
"Adj. R-squared","0.0918","0.0911","0.1142","0.0740","0.1398","0.0694","0.0903","0.0658","0.0937","0.1030","0.1144","0.0850","0.1413","0.0793","0.0911","0.0757"
"Observations","594","570","594","570","594","570","594","570","594","570","594","570","594","570","594","570"
