"","","Panel A: S&P500 PME",,,,"Panel B: MSCI ACWI PME",,,
"Fund Type","Obs","Mean","Std.Dev.","Min","Max","Mean","Std.Dev.","Min","Max"
"Balanced","36","1.25","0.40","0.59","2.16","1.32","0.41","0.60","2.36"
"Buyout","706","1.29","0.49","0.21","3.97","1.39","0.50","0.23","3.91"
"Co-Investment","39","1.28","0.50","0.13","2.26","1.39","0.51","0.16","2.47"
"Distressed & Turnaround","130","1.16","0.42","0.34","3.93","1.25","0.43","0.41","4.08"
"Expansion / Late Stage","35","1.08","0.60","0.06","2.95","1.14","0.58","0.08","2.74"
"Growth","114","1.19","0.61","0.05","4.40","1.32","0.65","0.07","4.88"
"Mezzanine","82","1.13","0.33","0.39","2.05","1.19","0.32","0.42","2.04"
"Natural Resources","66","1.09","0.60","0.09","3.10","1.17","0.58","0.09","2.96"
"Real Estate","351","1.02","0.33","0.11","2.14","1.11","0.34","0.11","2.34"
"Secondaries","88","1.13","0.21","0.72","1.76","1.22","0.22","0.71","2.05"
"Venture","471","1.00","0.54","0.1","3.73","1.10","0.60","0.12","4.69"
"All funds","2118","1.14","0.49","0.05","4.40","1.24","0.51","0.07","4.88"
