"Buyout","3.032*","","","","","","","","","Panel (a)"
"Co-investment","1.938","−1.094","","","","","","","",""
"Distressed & Turnaround","2.076","−0.956","0.138","","","","","","",""
"Expansion / Late Stage","−3.194","−6.227***","−5.132**","−5.271***","","","","","",""
"Growth","0.988","−2.044**","−0.95","−1.088","4.183**","","","","",""
"Mezzanine","−1.714","−4.746***","−3.652**","−3.790***","1.481","−2.702***","","","",""
"Natural Resources","0.955","−2.077","−0.983","−1.121","4.149**","−0.034","2.669*","","",""
"Real Estate","−0.545","−3.577***","−2.483","−2.621***","2.650*","−1.533*","1.169*","−1.500","",""
"Secondaries","6.537***","3.505***","4.599**","4.461***","9.731***","5.548***","8.251***","5.582***","7.082***",""
"Venture","−3.000*","−6.032***","−4.938***","−5.076***","0.194","−3.988***","−1.286","−3.955**","−2.455***","−9.537***"
" ","Balanced","Buyout","Co-investment","Distressed & Turnaround","Expansion / Late Stage","Growth","Mezzanine","Natural Resources","Real Estate","Secondaries"
"Buyout","0.071","","","","","","","","","Panel (b)"
"Co-investment","−0.101","−0.172***","","","","","","","",""
"Distressed & Turnaround","−0.08","−0.150***","0.022","","","","","","",""
"Expansion / Late Stage","−0.204*","−0.275***","−0.103","−0.124","","","","","",""
"Growth","−0.016","−0.087*","0.086","0.064","0.188**","","","","",""
"Mezzanine","−0.204**","−0.274***","−0.102","−0.124**","0.000","−0.188***","","","",""
"Natural Resources","−0.042","−0.113","0.059","0.037","0.162","−0.026","0.161**","","",""
"Real Estate","−0.220**","−0.291***","−0.118*","−0.140***","−0.016","−0.204***","−0.016","−0.178**","",""
"Secondaries","−0.078","−0.149***","0.023","0.002","0.126","−0.062","0.126***","−0.036","0.142***",""
"Venture","−0.168","−0.239***","−0.066","−0.088","0.036","−0.152**","0.036","−0.126*","0.052*","−0.090**"
"","Balanced","Buyout","Co-investment","Distressed & Turnaround","Expansion / Late Stage","Growth","Mezzanine","Natural Resources","Real Estate","Secondaries"
