"","Model 1",,"Model 2",
"Dependent Variable","IRR (%)","Multiple","IRR (%)","Multiple"
"Fund Types (benchmark: Buyout)",,,,
"Balanced","−4.216**","−0.180*","−4.319***","−0.185*"
"Co-Investment","−1.465","−0.143**","−1.259","−0.129*"
"Distressed & Turnaround","−1.300","−0.116**","−1.193","−0.109**"
"Expansion / Late Stage","−8.134***","−0.392***","−8.117***","−0.392***"
"Growth","−2.605***","−0.064","−2.486**","−0.060"
"Mezzanine","−5.513***","−0.319***","−5.327***","−0.314***"
"Natural Resources","−2.715*","−0.125*","−2.628*","−0.119*"
"Real Estate","−4.032***","−0.262***","−3.907***","−0.254***"
"Secondaries","2.509***","−0.155***","2.626***","−0.149***"
"Venture","−7.893***","−0.370***","−7.858***","−0.367***"
"Vintage (Benchmark: 2003)",,,,
"1990","4.677**","0.629***","4.585**","0.621***"
"1991","9.485***","0.629***","9.634***","0.625***"
"1992","6.057**","0.444***","6.035**","0.444***"
"1993","7.678***","0.640***","7.885***","0.647***"
"1994","3.748*","0.316**","3.746*","0.312**"
"1995","1.778","0.126","1.790","0.124"
"1996","−1.432","−0.015","−1.259","−0.011"
"1997","−0.563","−0.001","−0.438","−0.000"
"1998","−5.239***","−0.160**","−5.106***","−0.153**"
"1999","−6.600***","−0.145*","−6.379***","−0.136*"
"2000","−4.449***","−0.085","−4.216***","−0.079"
"2001","−0.148","0.086","0.082","0.097"
"2002","−0.691","−0.049","−0.478","−0.040"
"2004","−5.361***","−0.174**","−5.219***","−0.169**"
"2005","−8.189***","−0.267***","−7.935***","−0.261***"
"2006","−9.397***","−0.290***","−9.311***","−0.290***"
"2007","−6.171***","−0.197***","−6.055***","−0.197***"
"2008","−4.279**","−0.190***","−4.197***","−0.189***"
"2009","−0.495","−0.131**","−0.336","−0.127*"
"2010","−0.611","−0.168***","−0.354","−0.161**"
"2011","−0.354","−0.290***","−0.171","−0.284***"
"2012","0.813","−0.407***","0.997","−0.402***"
"2013","−3.120*","−0.550***","−2.925","−0.544***"
"Region (benchmark: U.S.)",,,,
"Africa","−0.958","−0.044","−1.196","−0.041"
"Americas","−3.617**","−0.092","−3.524**","−0.085"
"Asia","0.254","−0.018","0.216","−0.018"
"Australasia","1.940","−0.064","1.723","−0.076"
"Diversified Multi-Region","−5.051**","−0.144*","−5.001**","−0.138*"
"Europe","−0.208","−0.043","−0.303","−0.048*"
"Middle East & Israel","4.764","0.128","4.701","0.122"
"Size Variable",,,,
"LN(Fund Size)","−1.122***","−0.064***","",""
"Size Brackets (benchmark: <$100mn)",,,,
"$100mn_$250mn","","","−2.717***","−0.084**"
"$250mn_$500mn","","","−3.403***","−0.165***"
"$500mn_$1bn","","","−4.729***","−0.233***"
"$1bn_$3bn","","","−5.448***","−0.282***"
">$3bn","","","−4.115***","−0.214***"
"Constant","25.607***","2.270***","22.164***","2.045***"
"Fund sequence","0.001","0.003","−0.016","0.002"
"F-stat","17.715***","19.992***","16.674***","18.647***"
"Adj. R-squared","0.1281","0.1492","0.1311","0.1515"
"Observations","4781","4549","4781","4549"
