"","Panel A: Net IRR (%)",,,,,"Panel B: Multiple (x)",,,,,"Panel C: Fund Size (USD mns)",,,,
"Fund Type","Obs","Mean","Std.Dev.","Min","Max","Obs","Mean","Std.Dev.","Min","Max","Obs","Mean","Std.Dev.","Min","Max"
"Balanced","93","12.29","15.27","−19.00","63.70","92","1.65","0.81","0.56","5.20","93","1108.21","2516.55","1.46","16852.54"
"Buyout","1335","15.32","13.82","−20.70","66.10","1293","1.73","0.69","0.25","5.56","1335","1340.80","2393.72","3.92","23536.92"
"Co-Investment","95","14.23","14.76","−17.60","66.90","93","1.55","0.58","0.36","3.42","95","346.46","415.81","2.16","2311.51"
"Distressed & Turnaround","246","14.36","12.92","−15.60","70.00","227","1.58","0.62","0.54","5.07","246","1211.75","1491.17","11.97","11796.16"
"Expansion / Late Stage","84","9.09","13.32","−16.90","55.00","79","1.45","0.68","0.38","3.48","84","302.33","381.13","14.30","2631.60"
"Growth","262","13.28","13.21","−19.90","67.00","258","1.64","0.77","0.32","5.49","262","490.57","660.73","10.41","4831.06"
"Mezzanine","218","10.57","7.26","−13.00","56.30","200","1.45","0.40","0.47","3.40","218","668.10","1235.07","13.56","14605.54"
"Natural Resources","143","13.24","16.44","−20.00","67.10","136","1.61","0.79","0.40","4.86","143","1000.48","1577.25","2.01","9546.23"
"Real Estate","1155","11.74","12.17","−19.50","71.30","1061","1.44","0.50","0.28","4.93","1155","672.60","1045.03","1.46","12246.18"
"Secondaries","188","18.82","12.47","−6.30","66.00","185","1.58","0.43","0.81","3.81","188","849.75","1243.60","11.56","7477.49"
"Venture","962","9.29","16.01","−19.80","69.50","925","1.49","0.83","0.23","5.59","962","281.83","360.42","1.01","3111.59"
"All Funds","4781","12.75","13.92","−20.70","71.30","4549","1.57","0.68","0.23","5.59","4781","810.38","1588.72","1.01","23536.92"
