"Vintage","Fund observations","Fund mean IRR (%)","Fund mean multiple (x)","Fund mean size (USD mns)"
"1990","51","20.473","2.356","380.819"
"1991","29","25.652","2.362","295.196"
"1992","57","22.514","2.206","426.112"
"1993","59","23.619","2.375","296.721"
"1994","82","20.387","2.084","644.075"
"1995","97","18.259","1.878","412.467"
"1996","114","14.676","1.721","365.128"
"1997","143","15.315","1.731","574.691"
"1998","194","10.590","1.566","695.148"
"1999","193","8.771","1.553","663.503"
"2000","292","10.670","1.610","749.845"
"2001","196","15.090","1.776","658.022"
"2002","162","15.235","1.665","557.025"
"2003","157","16.103","1.721","649.635"
"2004","207","10.559","1.544","558.583"
"2005","335","7.758","1.450","837.500"
"2006","391","6.249","1.411","1196.392"
"2007","410","9.482","1.505","1237.046"
"2008","374","11.396","1.514","1111.735"
"2009","167","15.685","1.596","657.750"
"2010","253","15.562","1.551","625.159"
"2011","298","15.555","1.428","775.609"
"2012","270","16.789","1.306","955.849"
"2013","250","13.060","1.166","963.017"
"Total","4781","12.749","1.566","810.376"
