Fund Name,Vintage Year,Committed Capital,IRR (%),MOIC
Fund 1,2006,256.66200138464023,17.233063209765618,1.888431584280893
Fund 2,2019,200.16887501255982,5.141326104394349,2.9698155944522187
Fund 3,2014,114.29006806487335,5.461248500828315,2.040173207846364
Fund 4,2010,342.8998128269838,15.495493205167783,2.747892732125377
Fund 5,2007,75.38521056219511,12.997219434305109,2.4245535694580034
Fund 6,2020,374.89944752007113,5.933313264272309,2.010898653545177
Fund 7,2006,472.3487190570876,24.475110376829182,1.2238769300877597
Fund 8,2018,50.35044462845645,9.655426808606084,2.895963160232735
Fund 9,2022,496.4952016810479,6.812128690656416,2.2139187921219707
Fund 10,2010,327.8666793324724,17.367720186661746,1.893749704571849
